epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.578,2.05748,2.51759,1.04711,0.37488,0.14844,0.10784,0.05511,1.92055,1.76269,0.97415,0.000237706,0.000237706,0.000237706
2,565.583,1.96237,1.74591,0.9954,0.19986,0.18737,0.13395,0.06909,1.86779,1.56671,0.96804,0.000444309,0.000444309,0.000444309
3,874.147,1.93286,1.6484,0.98348,0.21148,0.19922,0.14427,0.07461,1.79405,1.47385,0.95472,0.000619497,0.000619497,0.000619497
4,1150.99,1.90205,1.58876,0.97467,0.24785,0.20319,0.15768,0.08403,1.79143,1.44192,0.94763,0.000572628,0.000572628,0.000572628
5,1450.03,1.88096,1.54781,0.9663,0.25754,0.20962,0.1673,0.08946,1.77554,1.41996,0.94092,0.000525504,0.000525504,0.000525504
6,1701.28,1.78882,1.48573,0.95833,0.27056,0.21742,0.17638,0.09332,1.75644,1.39488,0.94335,0.00047838,0.00047838,0.00047838
7,2055.73,1.77347,1.44274,0.95617,0.28051,0.22653,0.18325,0.09612,1.75067,1.38048,0.93866,0.000431256,0.000431256,0.000431256
8,2327.83,1.76414,1.41736,0.95004,0.30438,0.22586,0.18673,0.09982,1.75096,1.35317,0.93754,0.000384132,0.000384132,0.000384132
9,2604.31,1.75563,1.40115,0.94844,0.30063,0.22996,0.18768,0.1009,1.73125,1.33538,0.93752,0.000337008,0.000337008,0.000337008
10,2869.52,1.74172,1.3747,0.94497,0.29922,0.2325,0.19112,0.10312,1.72774,1.3298,0.93215,0.000289884,0.000289884,0.000289884
11,3114.78,1.72876,1.36146,0.94205,0.30437,0.2333,0.1949,0.1052,1.71556,1.31811,0.93076,0.00024276,0.00024276,0.00024276
12,3408.32,1.72282,1.34865,0.94109,0.31724,0.23507,0.19743,0.10666,1.70537,1.30556,0.92647,0.000195636,0.000195636,0.000195636
13,3731.69,1.71427,1.33862,0.93622,0.31408,0.23553,0.19797,0.10673,1.70473,1.30917,0.92659,0.000148512,0.000148512,0.000148512
14,4024.32,1.70972,1.3286,0.935,0.31197,0.23979,0.20097,0.1088,1.69673,1.29757,0.92519,0.000101388,0.000101388,0.000101388
15,5568.57,1.70146,1.31799,0.93433,0.31377,0.24022,0.20204,0.10976,1.69441,1.28918,0.92477,5.4264e-05,5.4264e-05,5.4264e-05
